movieId,movieTitle,movieRelease,revenue,audience,screen,screening ,movieNation,movieGrade,movieGenre,movieDirector,movieActors
1472,키리에의 노래: 디렉터스 컷,2023-11-24,"5,262,780",574,9,85,일본,15세이상관람가,드라마,이와이 슌지,
1475,기생충,2019-05-30,"3,777,700","10,313,735",8,82,한국,15세이상관람가,드라마,봉준호,"송강호,이선균,조여정,최우식,박소담,이정은,장혜진,박명훈,현승민,정현준,윤혜리,박근록,이시훈,김규백,설민,박가빈,정이서,조재명,정익한,안진상,이루아,김하언,하윤희,이도운,오별하,유인,유채련,정일화,지혜영,지연,최정연,서복현,심수미,장지우,한미자,주수지,강현규,고관재,박서준,곽신애,류영훈,문상근,김건,박재완,서한결,서희영,손지영,박혜숙,백동현,신승민,백승환,안성봉,염재민,오상준,오상준,김성수,김세인,윤영우,정재훈,김이슬,이종현,이주형,제승현,김혜련,김정우,이지혜,황인경,이덕형,이시은,김영조,이도용,김보령,김용각,정세현,이옥희,이상경,정아름,이은희,이인경,박미애,김진형,이시후,박재욱,양선영,장예원,최정현,김성준,최지원,김향배,채하니"
1480,갓길로 달리는 코뿔소,2022-06-23,"3,956,000",565,6,20,한국,15세이상관람가,드라마,황동석,"한이진,문창길,소이,류제승,정경호,기주봉,장의수,윤병희,김태준,배명진,차영남,강병구,홍은주,이석,최웅희,정회동,신희철,양현진,엄윤아,김주석,엄준호,고재근"
1480,아이 캔 스피크,2017-09-21,"3,931,000","3,284,322",2,23,한국,12세이상관람가,코미디,김현석,"나문희,이제훈,박철민,염혜란,성유빈,김소진,이상희,정연주,이지훈,손숙,박준서,이정현,홍상원,황연희,이재인,우지현,이신성,최수인,우상기,이대연,이정현,손성찬,정원창,김자영,김경덕,손경원,설창희,정태야,추연규,이승민,이범규,김선경"
1483,FBI 데스트랩,2022-03-30,"2,484,000",564,50,132,미국,15세이상관람가,스릴러,,"메간 폭스,브루스 윌리스"
1487,더 챔피언,2023-11-15,"6,063,489",563,18,90,영국,15세이상관람가,액션,다니엘 그레이엄,"러셀 크로우,맷 후킹스,레이 윈스톤"
1489,백두산,2019-12-19,"4,882,500","8,253,470",33,178,한국,12세이상관람가,"어드벤처,드라마","이해준,김병서","이병헌,하정우,마동석,전혜진,배수지,손성찬,서명찬,양지수,박준영,양대혁,김재철,박지훈,변우석,지화섭,김지민,이정민,허승,차시원,김훈만,손영순,박태산,우진혁,신성일,김세윤,김정현,허지나,김지훈,한창민,남상지,김연교,정윤하,김하라,이은희,이상원,옥자연,한수현,강신철,이경영,조한철,최광일,김시아,임형국,박주환,남성준,김민식,박지홍,서현우,김준원,남문철,박성근,전도연,노종면,이광연,이종원,김경수,나경철,박윤미,염상훈,차해리,김태은,서석규,서문호,장재희,나경진,김효준,김성혁,권수진,임윤비,장근영,서문호,한동훈,오지영,박정숙,홍지아,임수아,권귀덕,김기태,김찬욱,김양원,김시원,김대경,강규현,박범석,이재한,임무빈,장나라,서영재,김통령,최정현,이한결,안구희,최홍락,정상균,이육헌,권혁일,이두원,이창석,장용희,김동빈,김영경,김진문,민병욱,윤슬기,이형주,정진혁,한동훈,백경윤,고한민,허승,양지수,한동훈,서문호,김연교,정한빈"
1494,휴가,2021-10-21,"4,449,050","7,744",2,16,한국,12세이상관람가,드라마,이란희,"이봉하,김아석,신운섭,김정연,서광택,황정용,이승원,박재형,복운석"
1499,하이큐!! 콘셉트의 싸움,2018-01-11,"5,054,996","26,693",4,34,일본,12세이상관람가,애니메이션,미츠나카 스스무,
1501,더 게임,2022-12-08,"4,500,699",551,11,145,헝가리,15세이상관람가,"드라마,스릴러",페테르 퍼자카스,가브리엘라 하모리
1511,존 윅,2015-01-21,"3,354,552","122,857",18,98,미국,청소년관람불가,"액션,스릴러","데이빗 레이치,채드 스타헬스키","키아누 리브스,애드리앤 팰리키,윌렘 데포"
1511,존 윅 3: 파라벨룸,2019-06-26,"3,320,822","1,007,930",16,96,미국,청소년관람불가,"액션,범죄,스릴러",채드 스타헬스키,"키아누 리브스,할리 베리,로렌스 피쉬번,이안 맥쉐인"
1513,마지막 대전투: 전장의 영웅들,2022-03-23,"2,466,000",546,50,114,미국,15세이상관람가,"전쟁,액션,드라마",아리 톱,
1513,파일럿: 배틀 포 서바이벌,2022-04-13,"3,794,400",546,33,168,러시아,15세이상관람가,"전쟁,액션",레나트 다블레티아로프,피요트르 피오도로프
1516,K클래식 제너레이션,2022-08-31,"5,720,000",545,7,87,기타,전체관람가,다큐멘터리,티에리 로로,"임지영,황수미,조성진,문지영,김윤지"
1516,예수는 역사다,2017-07-13,"4,229,000","174,929",2,5,미국,전체관람가,드라마,존 건,"마이크 보겔,에리카 크리스틴슨,페이 더너웨이,로버트 포스터"
1518,노회찬6411,2021-10-14,"4,138,000","31,895",1,11,한국,12세이상관람가,다큐멘터리,민환기,
1518,오싹한 동거,2022-08-17,"5,120,000",542,5,56,한국,12세이상관람가,"멜로/로맨스,공포(호러)",황경성,"김소정,정찬우,이유진,이중문,김예지,송영숙,주수경,박상후,이승철,박형섭,오채아,김환,박은우,박하연,유지완,이지원,송인호,구종근,이승민,박선오,배은영,오정민,박창현,박영,김민지,이동찬"
1522,나의 특별한 형제,2019-05-01,"3,656,000","1,478,841",1,7,한국,12세이상관람가,"드라마,코미디",육상효,"신하균,이광수,이솜,박철민,권해효,길해연,양소민,배명진,김자영,김한나,양조아,김기천,고봉구,김경남,송철호,박정훈,서지원,김동훈,신안진,신안진,김민석,안지호,우지현,우지현,오세은,김서원,김현빈,이선주,김희창,윤정로,김승태,강은아,김중기,고현준,이채은,이호원,목규리,김태완,최광일,이도엽,김윤호,연승빈,전채원,서희,선종남,한경원,한별,정유민"
1523,봉오동 전투,2019-08-07,"4,810,500","4,788,118",3,23,한국,15세이상관람가,"사극,액션,드라마",원신연,"유해진,류준열,조우진,키타무라 카즈키,이케우치 히로유키,박지환,최유화,성유빈,이재인,다이고 코타로,고민시,지웅배,양현민,김기태,김규백,강민재,박도하,동윤석,곽진석,김대건,박시윤,권혁성,박영복,김경로,김경준,김경희,김관수,박재형,박준성,박지열,손우진,김동규,박훈,박희순,배성민,김두현,백경록,백승환,안성진,유경훈,김병국,어주선,오상무,오상윤,오승호,오진석,윤병희,김세한,윤선용,김현민,이정민,최민식,장세용,김현철,허인구,허인범,이준우,장의돈,김재현,홍범기,홍상표,장현석,전동현,전두식,홍진기,홍희자,윤종구,이수호,강내균,정미남,김연,강신구,강신형,이경욱,강준석,이관훈,이광기,고한민,고한수,지성은,곽예준,권성영,이대광,김길중,이도용,김리승,이연빈,김학충,이한종,김승완,김용석,임세운,임정환,이예지,임동욱,조셉,조영동,노재훈,조원빈,김철윤,주광현,남동명,김태형,장원일,문동식,원진,위민국,김태준,유명훈,노시홍,지명근,정광희,진근호,정동근,민상우,정윤철,신한울,윤서진,채장열,이인규,정재우,박범석,이권식,심소영,김유진,이민혁,박승준,박야성,최유화,이웅빈,손민호,양정두,장인수,여윤호,최홍락,염석무,전영인,최희열,전중용,오문강,서정식,오재윤,장나라,장래군,원풍연,장병수,오현근,백종승,백효성,한국인,한도진,황태인,한태양,홍민수,곽진석,장이준"
